Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,14948.230000000001,179378.76,USD,,,,,,
,,* Includes upfront cost,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,"Amazon EC2 ",0,4626,55512.00,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 12), Advance EC2 instance (m5a.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (2 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,9570.86,114850.32,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (15 TB), Nodes (1), Instance Type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (15 TB), Total Size of Backup Processed for Export (GB) (30 per month), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for each additional month of retention (per vCPU per month) (0.0631000000), Cost for total retention (per vCPU per month) (2.19)"
My Estimate,US East (N. Virginia),,S3 Standard,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,114.77000000000001,1377.24,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,VPN Connection,0,54.75,657.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,78.93,947.16,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,208.5,2502.00,USD,,"Hosted Zones (2), Number of Elastic Network Interfaces (2), Basic Checks Within AWS (100)"
My Estimate,US East (N. Virginia),,S3 Standard,0,47.1,565.20,USD,,S3 Standard storage (2 TB per month)
My Estimate,US East (N. Virginia),,S3 Standard - Infrequent Access,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,63,756.00,USD,,"Number of Metrics (includes detailed and custom metrics) (10), GetMetricData: Number of metrics requested (2000000), GetMetricWidgetImage: Number of metrics requested (), Number of other API requests (4000000)"
,,,Total,,"14,948.23","179,378.76",USD,,
Change mades:,"Increase EC2 instances from 8 to 12 for higher availability
Change RDS instance type from db.m5.2xlarge to db.m5.8xlarge for higher performance
Increase RDS storage from 10 to 15 TB
Add Cloudwatch for application metrics and monitoring
Add S3 infrequent acess",,,,,,,,
