Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,"6,492.54","77,910.48",USD,,,,,,
,,* Includes upfront cost,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,"Amazon EC2 ",0,1122.4607999999998,13469.53,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5a.2xlarge), Pricing strategy (Spot Discount: 54), Enable monitoring (enabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (2 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,4099.253,49191.04,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (10 TB), Nodes (1), Instance Type (db.m5.2xlarge), Utilization (On-Demand only) ( %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for each additional month of retention (per vCPU per month) (0.0631000000), Cost for total retention (per vCPU per month) (2.19), Additional backup storage (10 TB), Total Size of Backup Processed for Export (GB) (30 per month)"
My Estimate,US East (N. Virginia),,S3 Glacier Flexible Retrieval,0,0,0.00,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0)"
My Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,114.77000000000001,1377.24,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,VPN Connection,0,54.75,657.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2), Number of subnet associations ()"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,78.93,947.16,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,208.5,2502.00,USD,,"Hosted Zones (2), Number of Elastic Network Interfaces (2), Basic Checks Within AWS (100)"
My Estimate,US East (N. Virginia),,"Amazon EC2 ",0,721.72,8660.64,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5a.xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
,,,Total,,"6,492.54","77,910.48",USD,,
Change mades:,"Change S3 storage from Standard to Glacier to reduce cost and flexible object retrieval
Split EC2 into two types, m5a.xlarge for web server and m5a.2xlarge for application server and payment option from on-demand to spot instances
Change  RDS payment from on-demand to 1 year reserverd",,,,,,,,
,,,,,,,,,
